Rating,CocoaPercentage,Company,Origine spécifique du harirot
3.5,70%,Durci,"Rio Caribe, Tepui Treasure"
3.25,70%,Durci,Taino Secret
3.25,70%,Durci,"Carenero, Empyrean Sabor"
4,70%,Durci,Corona Arriba
3.25,70%,East Van Roasters,Peru
3.5,70%,East Van Roasters,Madagascar
3.75,70%,East Van Roasters,Dominican Republic
3.25,70%,Eau de Rose,Tumaco
3.25,70%,Eau de Rose,Arauca
2.75,72%,Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs"
3,68%,Edelmond,Porcelana
3.75,75%,El Ceibo,"Alto Beni, Covendo Region"
2.75,71%,El Ceibo,Alto Beni
3.75,70%,El Rey,San Joaquin
2.75,60.5%,El Rey,"Rio Caribe, Cariaco"
3,70%,El Rey,"Rio Caribe, Macuro"
2.5,74%,El Rey,"Carenero Superior, Apamate"
2.5,58%,El Rey,"Carenero Superior, Bucare"
3,61%,El Rey,"Carenero Superior, Mijao"
2.75,70%,El Rey,"Carenero Superior, Gran Saman"
2.75,60%,Emerald Estate,Emerald Estate
3.25,70%,Emerald Estate,Emerald Estate
3,79%,Emily's,Patanemo
3.5,78%,Emily's,Peru
3.25,75%,ENNA,"Wampusirpi, batch 007"
3.25,80%,Enric Rovira (Claudio Corallo),Terreiro Velho P.
3.25,70%,Erithaj (A. Morin),Ben Tre
3,80%,Erithaj (A. Morin),Ham Luong
3.25,74%,Erithaj (A. Morin),Ba Lai
2.75,70%,Escazu,Rio Caribe
2,65%,Escazu,Guapiles
3.5,81%,Escazu,Carenero Superior
2.75,74%,Escazu,"Carenero, Guapiles, Ocumare blend"
3,72%,Escazu,Ocumare
2.5,55%,Ethel's Artisan (Mars),"Peru, Madagascar"
2.5,55%,Ethel's Artisan (Mars),Trinidad
2.5,70%,Ethel's Artisan (Mars),Porcelana
2.75,62%,Ethel's Artisan (Mars),Red Vanilla
2.5,62%,Ethel's Artisan (Mars),"Venezuela, Trinidad"
3,80%,Ethereal,Belize
3.5,80%,Ethereal,Ecuador
3.75,80%,Ethereal,Dominican Republic
2.75,75%,Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic"
3,76%,Feitoria Cacao,Blue Mountain
2.5,76%,Feitoria Cacao,Cuyagua
2.75,76%,Feitoria Cacao,Maya Mountain
3.5,58%,Felchlin,Grenada
2,62%,Felchlin,Supremo- SF
3,74%,Felchlin,Elvesia P.
3,64%,Felchlin,"Madagascar, Grand Cru"
3,65%,Felchlin,Maracaibo Clasificado
3.5,72%,Felchlin,Arriba
4,68%,Felchlin,"Alto Beni, Cru Savage"
2.25,65%,Finca,Puerto Rico
3,80%,Finca,Dominican Republic
3.25,70%,Finca,Dominican Republic
2.5,85%,Finca,Dominican Republic
2.75,72%,Forever Cacao,Rio Eni
2.75,70%,Forteza (Cortes),Dominican Republic
2.75,80%,Forteza (Cortes),Puerto Rico
2.75,70%,Fossa,"Akesson's E., Sambirano V."
3.5,75%,Fossa,"Camino Verde P., Balao, Guayas"
3.75,67%,Fossa,"Kokoa Kamili Coop, Kilombero"
3.5,70%,Franceschi,Choroni
3.75,70%,Franceschi,Ocumare
3.75,70%,Franceschi,Canoabo
3.5,60%,Franceschi,Sur del Lago
3.5,70%,Frederic Blondeel,Costa Rica
3.5,75%,Frederic Blondeel,Peru Brutus
3,80%,Frederic Blondeel,Vietnam
3.5,60%,Frederic Blondeel,Ghana
3.5,65%,Frederic Blondeel,Madagascar
3.5,70%,French Broad,"Norandino, batch 161208"
3.5,73%,French Broad,Guatemala
3,80%,French Broad,San Andres
3.25,68%,French Broad,Matagalpa
3.5,66%,French Broad,"Palo Blanco, Chulucanas"
2.5,70%,French Broad,Tumbes Coop
3.5,61%,French Broad,"Palo Blanco, Chulucanas"
2,81%,French Broad,"Palo Blanco w/ panela, Chulucanas"
3.5,70%,French Broad,"Maranon Canyon, Fortunato No. 4"
3.5,65%,French Broad,La Red
3,70%,Fresco,"Maranon, #228, MR, SC"
3.5,70%,Fresco,"Maranon, #227, LR, MC"
3.5,70%,Fresco,"Maranon, #229, MR, LC"
3.5,70%,Fresco,"Maranon, #230, DR, LC"
3.25,72%,Fresco,"Conacado, #223, MR, SC"
3.75,72%,Fresco,"Conacado, #224, MR, MC"
3.75,70%,Fresco,"San Martin, Bellavista Coop, #226, DR, MC"
4,70%,Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive"
3.5,69%,Fresco,"Markham Valley, #219, LR, MC"
3.5,69%,Fresco,"Markham Valley, #221, DR, MC"
4,74%,Fresco,"Sambirano Valley, #216, MR, LC"
4,69%,Fresco,"Markham Valley, #220, MR, MC"
3,69%,Fresco,"Markham Valley, #222, LR, 0C"
2.75,74%,Fresco,"Ghana, #211, MR, MC"
3.25,70%,Fresco,"Jamaica, #209, DR, SC"
3.5,72%,Fresco,"Conacado, #212, LR, SC"
3.5,70%,Fresco,"Jamaica, #210, DR, MC"
2.75,74%,Fresco,"Sambirano Valley, #214, LR, MC"
3.25,72%,Fresco,"Conacado, #213, DR, -C"
3,74%,Fresco,"Sambirano Valley, #215, MR, MC"
3.25,76%,Fresco,"Chuao, #218, MR, MC"
4,70%,Fresco,"Chuao, #217, DR, MC"
2.75,80%,Fresco,"Jamaica, #204, DR, SC"
3,70%,Fresco,"Jamaica, #206, DR, LC"
3.25,70%,Fresco,"Jamaica, #205, DR, MC"
3.5,65%,Fresco,"Carenero Superior, #203, MR, SC"
3.5,70%,Friis Holm,"Rugoso, Bad Fermentation"
3,60%,Friis Holm (Bonnat),La Dalia
3.25,85%,Friis Holm (Bonnat),La Dalia
3.5,70%,Friis Holm (Bonnat),La Dalia
3.25,70%,Friis Holm (Bonnat),"Barba, Xoco"
3.5,70%,Friis Holm (Bonnat),"Medagla, Xoco"
3.25,70%,Friis Holm (Bonnat),"Chuno, triple turned, Xoco"
3.25,70%,Friis Holm (Bonnat),"Red Mayan, Xoco"
3.25,70%,Friis Holm (Bonnat),"Chuno, double turned, Xoco"
3.75,70%,Friis Holm (Bonnat),"Rugoso, Xoco"
3.25,70%,Friis Holm (Bonnat),"Johe, Xoco"
3.5,70%,Friis Holm (Bonnat),"Chuno, Xoco"
3.5,70%,Friis Holm (Bonnat),"Nicaliso, Xoco"
3.75,74%,Fruition,"Wild Bolivian, Batch 2"
4,74%,Fruition,"Coto Brus, Heirloom, Batch 1"
3.75,70%,Fruition,Gran Couva
3,76%,Fruition,Maranon
3.75,70%,Fruition,La Red
3,75%,Fruition,Camino Verde
2.5,70%,Fruition,Peru
3.25,66%,Fruition,Signature Blend
3,70%,Fruition,Costa Rica
2.5,85%,Garden Island,"Kaua'I, Alea Estate +world"
3.25,65%,Georgia Ramon,Akesson P.
4,70%,Georgia Ramon,ABOCFA Coop
3.5,70%,Georgia Ramon,Conacado Coop
3.5,80%,Georgia Ramon,Conacado Coop
3.5,75%,Georgia Ramon,Akesson P.
3.5,70%,Glennmade,"Toledo District, 2015 Harvest"
3,66%,Glennmade,Bahia
2.75,77%,Goodnow Farms,"Almendra Blanca, batch 1004"
3.25,77%,Goodnow Farms,"El Carmen, batch 1003"
3.25,77%,Goodnow Farms,"Asochivite, batch 1005"
3,72%,Grand Place,"Ben Tre, Dong Nai"
2.5,70%,Green & Black's (ICAM),Dark
3.5,70%,Green Bean to Bar,Madagascar
3.25,82%,Grenada Chocolate Co.,Grenada
2.75,60%,Grenada Chocolate Co.,Grenada
2.5,71%,Grenada Chocolate Co.,Grenada
3,64%,Guido Castagna,Arriba
3,64%,Guido Castagna,Ghana
3,64%,Guido Castagna,Trinidad & Tobago
3,76%,Guido Castagna,Lacri Blend
3.25,64%,Guido Castagna,Blend
3.75,70%,Guittard,"Epique, Blend No. 49"
2.75,65%,Guittard,Haiti
2.75,65%,Guittard,Nicaragua
3.25,65%,Guittard,Jamaica
3.5,65%,Guittard,Ecuador
2.75,72%,Guittard,Coucher du Soleil
3.25,61%,Guittard,Lever du Soleil
3.25,72%,Guittard,Onyx
3,65%,Guittard,Trinidad
3,55%,Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka"
3,91%,Guittard,Nocturne
3.5,70%,Guittard,Complexite
3,65%,Guittard,Machu Pichu
3,64%,Guittard,Special Maker Reserve
3.5,65%,Guittard,Ocumare
3.5,72%,Guittard,Quetzalcoatl
3,65%,Guittard,Chucuri
2.5,65%,Guittard,Sur del Lago
3.5,65%,Guittard,"Sambirano, Ambanja"
3.5,65%,Guittard,"Los Rios, Quevedo"
3.5,61%,Guittard,Tsaranta
3,61%,Guittard,Semisweet
2.75,80%,Habitual,Papua New Guinea
2.75,74%,Habitual,Campesino w/ nibs
3.25,75%,Habitual,Dominican Republic
3.5,70%,Habitual,Trinitario
2.75,65%,Habitual,Downtown London
3,70%,Habitual,Africa meets Latina
3,80%,Habitual,Amazonas
3.25,66%,Habitual,Sharkey
2,100%,Habitual,one hundred
2.5,77%,Hachez,Arriba
2.75,55%,Hacienda El Castillo,Don Homero- Cerecita Valley
3,70%,Hacienda El Castillo,Don Homero- Cerecita Valley
3,70%,Haigh,South America and Africa
3.25,85%,Harper Macaw,"Vale do Juliana, w/ nibs"
3,67%,Harper Macaw,Brazil Blend
3.5,77%,Harper Macaw,"Tome Acu E., Amazon Rainforest"
3.5,74%,Harper Macaw,"Vale do Juliana E., Atlantic Forest"
2.75,64%,Heilemann,Peru
3.25,70%,Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015"
3.5,74%,Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015"
3.5,67%,Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014"
3,67%,Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014"
3.75,67%,Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014"
3.75,67%,Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014"
3.5,72%,Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015"
3.5,70%,Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015"
3.5,77%,Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015"
3.75,68%,Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015"
4,72%,Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015"
2.75,57%,hello cocoa,Uganda
3.5,74%,hello cocoa,Venezuela
2.75,70%,hexx,Tanzania
3,74%,hexx,Madagascar
3,70%,hexx,Venezuela
3.25,73%,hexx,Ecuador
3.25,70%,hexx,Peru
2.75,70%,Hogarth,Akesson's Estate
2.75,72%,Hogarth,Carenero Superior
3.25,75%,Hogarth,Conacado
3.5,66%,Hogarth,Gran Blanco
2,80%,Hoja Verde (Tulicorp),Arriba
2.5,80%,Hoja Verde (Tulicorp),Manabi
3,72%,Hoja Verde (Tulicorp),Arriba
3.25,58%,Hoja Verde (Tulicorp),Arriba
3.5,58%,Hoja Verde (Tulicorp),Manabi
2.75,70%,Holy Cacao,Maranon
3.5,70%,Holy Cacao,"Camino Verde P., Balao, Guayas"
3.5,70%,Holy Cacao,Sambirano
3.5,70%,Holy Cacao,Gran Couva
3.5,70%,Holy Cacao,Mara
2.5,70%,Holy Cacao,Ivory Coast
2.75,70%,Holy Cacao,Hispaniola
3.5,70%,Holy Cacao,San Martin
3.75,75%,Holy Cacao,Hispaniola w/ nibs
2.5,72%,Honest,"Ecuador, w/ nibs"
2.75,70%,Hotel Chocolat,"Pepiniere, single Cote"
4,70%,Hotel Chocolat,"Marcial, single Cote, 2012"
1.75,100%,Hotel Chocolat,"Island Growers, 2012, 120hr c."
3,75%,Hotel Chocolat (Coppeneur),Trinidad
3.5,80%,Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai
3,90%,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara"
3,72%,Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012"
3.5,82%,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012"
2.75,100%,Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c."
2.5,100%,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c."
2.75,100%,Hotel Chocolat (Coppeneur),"Conacado, 2012, 120hr c."
3.5,66%,Hotel Chocolat (Coppeneur),Sambirano
3,80%,Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 96hr c."
3,65%,Hotel Chocolat (Coppeneur),"Island Growers, 120hr c."
3.25,65%,Hotel Chocolat (Coppeneur),"Island Growers, 96hr c."
2.75,70%,Hotel Chocolat (Coppeneur),Ecuador
3,70%,Hotel Chocolat (Coppeneur),Santo Domingo
2.75,70%,Hotel Chocolat (Coppeneur),Chuao
3,72%,Hotel Chocolat (Coppeneur),St. Lucia
2.5,80%,Hotel Chocolat (Coppeneur),Uganda
2.75,75%,Hotel Chocolat (Coppeneur),Tanzania
3,72%,Hotel Chocolat (Coppeneur),Uba Budo
3.5,70%,Hummingbird,Lam Dong
3,70%,Hummingbird,Bolivia
3,70%,Hummingbird,"Bolivia, Bo-nib-ia, w/ nibs"
3,70%,Hummingbird,Momotombo
3.75,70%,Hummingbird,Hispaniola
3.5,70%,Hummingbird,Zorzal Reserva w/ Charles Kerchner
3.25,70%,Hummingbird,"Ocumare, Cumboto"
3.75,70%,Hummingbird,Amazonas
3.75,72%,Idilio (Felchlin),"Chuao, Venezuela"
3.75,72%,Idilio (Felchlin),Coopertiva Amazona
3.75,72%,Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, 48hr c."
3.25,72%,Idilio (Felchlin),"Choroni, Finca Torres, 48hr c."
3.75,72%,Idilio (Felchlin),"Ocumare, H. Cata, 48hr c."
4,74%,Idilio (Felchlin),"Porcelana, Zulia"
3.5,72%,Idilio (Felchlin),"Ocumare, H. Cata, w/ nibs"
4,70%,Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento"
4,72%,Idilio (Felchlin),Coopertiva Amazona w/ nibs
4,72%,Idilio (Felchlin),"Sur del Lago, Amiari Meridena, Zulia, w/ nibs"
2.5,61%,Indah,India (south)
3.25,70%,Indaphoria,La Red
2.75,70%,Indaphoria,"Conacado, Manifesto"
3,77%,Indi,Honduras
2.75,72%,iQ Chocolate,"Satipo region, white label"
3,72%,iQ Chocolate,black label
3.5,72%,Isidro,Madagascar
2.25,72%,Isidro,Peru
3.25,72%,Isidro,Belize
3.25,72%,Isidro,Dominican Republic
3.5,70%,Izard,"Maya Mountain, Toledo, Batch 29"
2.75,70%,Izard,"Elvesia P., Batch 32"
2,71%,Jacque Torres,Trinatario Treasure
2.75,63%,Jordis,Madagascar
3.5,70%,Just Good Chocolate,Belize
3.5,70%,Just Good Chocolate,Madagascar
4,70%,Just Good Chocolate,Peru
3.5,70%,Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep."
3,82%,Kah Kow,"Rizek Cacao, Domin. Rep."
3.25,55%,Kah Kow,"Rizek Cacao, Domin. Rep."
3.25,62%,Kah Kow,"Rizek Cacao, Domin. Rep."
2.5,64%,Kakao,Peru
3.75,65%,Kakao,Vanuatu
3,70%,Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype
3.5,70%,Kallari (Ecuatoriana),Sisa's Secret/ original micro
2.75,75%,Kallari (Ecuatoriana),Roberto
2.5,85%,Kallari (Ecuatoriana),Diego/ original micro
2.75,85%,Kallari (Ecuatoriana),Diego 48hr/ W.F. blend prototype
3,85%,Kallari (Ecuatoriana),Diego 60hr/ W.F. blend prototype
2.5,75%,Kallari (Ecuatoriana),Cacao Nacional W.F.
3,85%,Kallari (Ecuatoriana),Cacao Nacional W.F.
2.75,70%,Kaoka (Cemoi),Noir
2.75,80%,Kaoka (Cemoi),Ecuador
3.75,70%,Kerchner,"La Red, Project Reserva, Guaconejo"
2,72%,Ki' Xocolatl,Dark
3,60%,Kiskadee,"La Red, Guanconjeco"
2.5,72%,Kto,San Martin
2.75,72%,Kto,Ocumare
3,72%,Kto,Belize
3.25,72%,Kto,Sambirano Valley
3.25,90%,Kto,Belize
3.25,72%,Kto,Elvesia
3.25,72%,Kto,ROIG
3.25,70%,K'ul,"Kafupbo, Petit Bourg, De Borgnes"
2.75,70%,K'ul,"Maranon, Fortunato No. 4"
3.75,70%,K'ul,"Los Rios, Hacienda Limon, Heirloom"
3.75,70%,K'ul,"Bahia, Fazenda Camboa"
2.5,72.5%,Kyya,Uganda
3,72.5%,Kyya,Hispaniola
2.5,72.5%,Kyya,Ecuador
3,72.5%,Kyya,Madagascar
3.25,74%,L.A. Burdick (Felchlin),Peru
4,70%,L.A. Burdick (Felchlin),Brazil
3.75,68%,L.A. Burdick (Felchlin),Chuao
3.75,74%,L.A. Burdick (Felchlin),Quito
3.25,75%,L.A. Burdick (Felchlin),Grenada
3.75,74%,L.A. Burdick (Felchlin),Dominican Republic
3,71%,L.A. Burdick (Felchlin),Venzuela
3.5,64%,L.A. Burdick (Felchlin),Madagascar
3,68%,L.A. Burdick (Felchlin),Bolivian
2.25,70%,La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar"
2.5,70%,La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 7"
3,70%,La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8"
3,70%,La Chocolaterie Nanairo,"Belize, 2014 Harvest, Batch 9"
2.75,74%,La Maison du Chocolat (Valrhona),"Cuana, 2013"
3.25,60%,La Maison du Chocolat (Valrhona),Tobago
3.25,56%,La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs"
3.5,66%,La Maison du Chocolat (Valrhona),Loma Sotavento
3.5,68%,La Maison du Chocolat (Valrhona),Grenada
3.25,68%,La Maison du Chocolat (Valrhona),Akosombo
3.5,69%,La Maison du Chocolat (Valrhona),"Porcelana, Pariguan"
3,60%,La Maison du Chocolat (Valrhona),Kuruba
3.75,60%,La Maison du Chocolat (Valrhona),Orinoco
3.5,74%,La Maison du Chocolat (Valrhona),"Cuana, 2008"
2.5,72%,La Oroquidea,Peruvian Amazon
3.25,60%,La Pepa de Oro,Vinces
2.75,75%,Laia aka Chat-Noir,"Madagascar, Batch 59/100"
2.75,75%,Laia aka Chat-Noir,"Vietnam, Batch 50/100"
3,75%,Laia aka Chat-Noir,"Cuba, Batch 59/100"
3.25,75%,Laia aka Chat-Noir,"Peru, Batch 51/100"
3,75%,Laia aka Chat-Noir,"Ivory Coast, Batch 56/100"
3.5,75%,Laia aka Chat-Noir,"Sao Tome, Batch 151"
3.25,75%,Laia aka Chat-Noir,"Bahia, Batch 148"
3.75,75%,Laia aka Chat-Noir,"Lam Dong, Batch 153"
2.75,70%,Laia aka Chat-Noir,Cuba
2.75,68%,Laia aka Chat-Noir,Trinidad-Tobago
3.5,70%,Lajedo do Ouro,Catongo
2.5,75%,Lake Champlain (Callebaut),Tanzania
3.5,80%,L'Amourette,Rugoso
3,75%,L'Amourette,Carenero Superior
3,75%,L'Amourette,Rio Caribe
3,72%,L'Amourette,Blend
3.5,70%,Letterpress,"La Masica, Batch 7, FHIA"
3.25,70%,Letterpress,"Maya Mtn, Batch 18, Heirloom"
3.25,70%,Letterpress,Liberia
3.25,70%,Letterpress,Beniamo
3.5,70%,Letterpress,"San Juan Estate, Gran Couva"
3,70%,Letterpress,San Andres
3.25,70%,Letterpress,"La Red, Guaconejo"
3.5,70%,Letterpress,Kokoa Kamili
3.5,70%,Letterpress,Maranura
3.5,71%,Levy,Sambirano
3,70%,Lilla,Madagascar
3.5,65%,Lillie Belle,Perfect Illusion
3.5,68%,Lillie Belle,"Bolivia, Wild Thing"
3.75,68%,Lillie Belle,La Selva
2.75,75%,Lillie Belle,Purple Haze
3,74%,Lillie Belle,"The Other One, Grand Cru"
3.5,68%,Lillie Belle,Wild Thing
3,85%,Lindt & Sprungli,Excellence (US Version)
2.5,65%,Loiza,Puerto Rico
3.75,70%,Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku"
3.25,65%,Lonohana,"Haleiwa E, O'ahu, 2014"
3.75,75%,Lonohana,"Haleiwa E, O'ahu, 2014"
3,71%,Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive"
3,72%,Lonohana,"Opaeula Estate, O'ahu, Ele'ele"
3.5,70%,Lonohana,"Hawaiian Crown, Kona Vanilla"
2,75%,Love Bar,Nicaragua
2.75,46%,Luker,Selva
3,60%,Luker,Macondo
3,58%,Luker,Misterio
3.5,65%,Luker,Santander
1.5,70%,Machu Picchu Trading Co.,Peru
2.25,55%,Machu Picchu Trading Co.,Peru
3.5,67%,Madecasse (Cinagra),Madagascar
3.75,70%,Madecasse (Cinagra),Madagascar
4,63%,Madecasse (Cinagra),Madagascar
3.5,75%,Madecasse (Cinagra),Madagascar
3.5,73%,Madre,Guadalcanal
2.75,70%,Madre,Puerto Rico
3.5,70%,Madre,Brazil
2.75,70%,Madre,"Choobua, Kona"
2.75,70%,Madre,"Xocunusco, Chiapas, Pichucalco"
3.25,70%,Madre,"Hamakua Coast, Kokoleka"
3.25,70%,Madre,"Criollo, Hawaii"
3.5,70%,Madre,Kaua'i
2.5,70%,Madre,Dominican
2.75,70%,Madre,Upala
2.75,72%,Madre,"Chiapas, Triple Cacao"
2,75%,Maglio,Africa
3,70%,Maglio,Ecuador
3.25,70%,Maglio,Cuba
3.75,70%,Maglio,Santo Domingo
2,70%,Majani,Ecuador
2.75,75%,Malagasy (Chocolaterie Robert),Sambirano 2006
3.5,73%,Malagasy (Chocolaterie Robert),Mora Mora 2006
3.5,65%,Malagos,"Davao, Mt. Talamo foothills"
3.5,55%,Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs"
2.75,55%,Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate"
3,70%,Malmo,Chuao
2.5,74%,Mana,Ecuador
2.5,74%,Mana,Peru
2.75,74%,Mana,Venezuela
3.75,74%,Mana,Conacado
2.75,70%,Manifesto Cacao,Colombia
3.5,72%,Manoa,Markham Valley
3.75,72%,Manoa,Coto Brus
3.75,72%,Manoa,"Waiahole, O'ahu"
3.25,72%,Manoa,"Liberia, #174"
2.75,72%,Manoa,"Hamakua, Hawaiian Crown, #176"
3,72%,Manoa,Piura
3.25,72%,Manoa,"Oahu, Winward, #151, Maunawili district"
3.75,70%,Manufaktura Czekolady,Johe
3.5,70%,Manufaktura Czekolady,Peru
3.75,70%,Manufaktura Czekolady,Porcelana
3.5,85%,Manufaktura Czekolady,Kolumbia
3.25,70%,Manufaktura Czekolady,Grand Cru Dominican Republic
3.5,70%,Manufaktura Czekolady,Grand Cru Ghana
3.25,70%,Manufaktura Czekolady,Grand Cru Ecuador
3.25,75%,Map Chocolate,"Ben Tre, Surprise Valley"
3.5,70%,Map Chocolate,"ROIG, 2014"
3.5,62%,Map Chocolate,"Maranon, 2014"
3.5,70%,Map Chocolate,Ecuador
2.75,70%,Map Chocolate,"San Juan Estate, Cherry Blossoms at Night"
3.5,70%,Map Chocolate,"A case of the Xerces Blues, triple roast"
3.5,68%,Map Chocolate,"Tumbes, Dear Mr. Finley, 2014"
2.75,75%,Map Chocolate,Colombia
3,72%,Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast"
3.5,78%,Map Chocolate,Le Chocolat Chaud
3,70%,Marana,Piura
2.75,70%,Marana,Cusco
3,70%,Marana,San Martin
3.25,75%,Marigold's Finest,Cacao Nib Crunch
3.25,85%,Marou,"Tan Phu Dong Island, Heart of Darkness"
3.5,68%,Marou,Ben Tre
3.75,70%,Marou,"Dak Lak, Batch 2451"
3.5,75%,Marou,"Tan Phu Dong, Treasure Island"
3.5,76%,Marou,Ba Ria
3.5,72%,Marou,Dong Nai
3.5,70%,Marou,"Tien Giang, Gao Co-op"
3.5,78%,Marou,Ben Tre
3,80%,Marou,Tien Giang
3.5,74%,Marou,Lam Dong
3,65%,Mars,"Matina 1-6, prototype"
3,65%,Mars,Ivory Coast
3.25,65%,Mars,Nigeria
3.5,65%,Mars,"Ghana, prototype"
2.25,74%,Marsatta,Dominican Republic
2.5,89%,Marsatta,Dominican Republic
2.75,76%,Martin Mayer,Alto Beni
3,82%,Martin Mayer,Pisa
3.25,74%,Martin Mayer,Tumaco
3,76%,Mast Brothers,Guatemala
3.25,74%,Mast Brothers,Tanzania
3.75,75%,Mast Brothers,French Laundry 20th Anniversary
3.5,73%,Mast Brothers,Shake Shack
2.5,72%,Mast Brothers,Madagascar
2.75,73%,Mast Brothers,Chuao
3.5,72%,Mast Brothers,Brooklyn Blend
3,76%,Mast Brothers,"Chuao, Med. Roast"
3,70%,Mast Brothers,"Chuao, Dark Roast"
2.75,81%,Mast Brothers,"Chuao, Light Roast"
3.5,70%,Mast Brothers,Moho River
2.75,71%,Mast Brothers,Papua New Guinea
3,75%,Mast Brothers,San Martin
3.25,73%,Mast Brothers,Conacado
3.75,74%,Mast Brothers,"La Red de Guanconejo, N. Highlands coop"
2.75,81%,Mast Brothers,Patanemo
3,75%,Mast Brothers,Ocumare de la Costa
3.25,70%,Mast Brothers,"Dominican Republic, Coop"
3.5,72%,Matale,"Malekula P., 2013"
4,68%,Matale,"Somia, 2013"
4,74%,Matale,"Kulili P., 2013"
3.75,70%,Matale,Blend
3.25,70%,Maverick,Maya Mountain
3.25,70%,Maverick,Elvesia
3.25,82%,Maverick,Tumbes
3.5,63%,Maverick,"Morropon, Norandiono Coop, Piura"
3,72%,Mayacama,Hispaniola
2.5,70%,Meadowlands,Bolivia
2.75,70%,Meadowlands,Venezuela
3,70%,Meadowlands,Belize
3,70%,Meadowlands,"Nicaragua, w/ inbs"
3.5,70%,Meadowlands,Dominican Republic
2.5,80%,Menakao (aka Cinagra),Madagascar
2.5,72%,Menakao (aka Cinagra),Madagascar
2.75,80%,Mesocacao,El Salvador
3,70%,Mesocacao,El Salvador
3.25,80%,Mesocacao,Honduras
3.5,70%,Mesocacao,Honduras
3.25,70%,Mesocacao,"La Tronca, Matagalpa"
3.5,80%,Mesocacao,"La Tronca, Matagalpa"
3,70%,Metiisto,"Fazenda Sempre Firme P., Bahia"
3.5,72%,Metiisto,Akesson Estate
3.5,70%,Metropolitan,South America
3.75,66%,Michel Cluizel,"Chiapas, Mokaya P."
3.5,66%,Michel Cluizel,"Carenero Superior, Concepcion"
3.5,67%,Michel Cluizel,Vila Gracinda
2,60%,Michel Cluizel,Carre Amer
2,85%,Michel Cluizel,Carre Grand Noir
3,70%,Michel Cluizel,Tamarina
4,67%,Michel Cluizel,Los Ancones P.
4,65%,Michel Cluizel,Mangaro P.
4,64%,Michel Cluizel,Maralumi P.
2,99%,Michel Cluizel,Noir Infini
3.5,80%,Middlebury,Maya Mountain
3.5,70%,Middlebury,San Juan Estate
3.75,75%,Middlebury,Oko Caribe
3.75,75%,Middlebury,"Patanemo, Epoch, Donaldo"
3.25,75%,Middlebury,Kokoa Kamili
3.5,70%,Middlebury,"Matagalpa, Cacao Bisiesto"
2.5,75%,Middlebury,La Red
3.25,80%,Middlebury,Belize
1.5,65%,Middlebury,Houseblend
2,75%,Middlebury,Alto Beni
2.5,70%,Middlebury,"Balinese, Java"
2.5,70%,Millcreek Cacao Roasters,Ecuador
3.5,70%,Millcreek Cacao Roasters,Ecuador
2.75,67%,Mindo,Ecuador
2.75,77%,Mindo,Ecuador
3.5,70%,Minimal,"Acul-du-Nord, 2015"
3.75,75%,Mission,"Fazenda Camboa, Bahia"
3.5,70%,Mission,"Bahia, Fazenda Venturosa"
2.5,65%,Mita,Tumaco
3.25,73%,Moho,"Toledo District, w/ nibs"
3,72%,Moho,Toledo District
